-3;0.141120008
-2.9;0.239249329
-2.8;0.33498815
-2.7;0.42737988
-2.6;0.515501372
-2.5;0.598472144
-2.4;0.675463181
-2.3;0.745705212
-2.2;0.808496404
-2.1;0.863209367
-2;0.909297427
-1.9;0.946300088
-1.8;0.973847631
-1.7;0.99166481
-1.6;0.999573603
-1.5;0.997494987
-1.4;0.98544973
-1.3;0.963558185
-1.2;0.932039086
-1.1;0.89120736
-1;2.431599868
-0.9;5.756074571
-0.8;6.291009765
-0.7;6.762955186
-0.6;7.167327393
-0.5;7.500086034
-0.4;7.757906294
-0.3;7.93821212
-0.2;8.039201954
-0.1;8.059866739
0;8
0.1;8.059866739
0.2;8.039201954
0.3;7.93821212
0.4;7.757906294
0.5;7.500086034
0.6;7.167327393
0.7;6.762955186
0.8;6.291009765
0.9;5.756074571
1;2.431599868
1.1;0.89120736
1.2;0.932039086
1.3;0.963558185
1.4;0.98544973
1.5;0.997494987
1.6;0.999573603
1.7;0.99166481
1.8;0.973847631
1.9;0.946300088
2;0.909297427
2.1;0.863209367
2.2;0.808496404
2.3;0.745705212
2.4;0.675463181
2.5;0.598472144
2.6;0.515501372
2.7;0.42737988
2.8;0.33498815
2.9;0.239249329
3;0.141120008
